member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7
-0.40131399552248703,-572.7534268394927,-12.908095814178562,-1.81,-8.182503225806453,-3.898245614035088,-5.707233333333333,-147.60243767313017
-29.441754444694354,-2.0571273960401464,-12.186484641638225,-1.1400000000000001,-0.8450612736660928,-3.1619509043927647,-3.2218666666666653,-8.99984856679286
-7.14917669243231,-60.23685977993608,-12.202602698130395,-1.57,-1.5314013071895427,0.5231895840157219,-5.149613145539906,-33.51925365062196
-1.010152050099495,-120.79967724106574,-12.636524173977973,-1.66,-4.785276006806579,-3.001143790849673,-5.211249019607843,-48.70624567474047
-18.49273202905227,-18.50084925332668,-12.438256619144601,-1.35,-0.6422081686429513,-2.87534188034188,-4.243158558558559,-15.670769230769231
-14.114155503168085,-5.182722378645206,-12.129224873715382,-1.24,-0.8803041527870314,-3.028728070175439,-3.537453623188406,-11.167635041551245
-1.2240776641677884,-160.6070672565403,-13.175290241752123,-1.67,-2.7364190476190466,-3.1734848484848484,-4.927585185185185,-1.5169443982712767
-2.404773891985754,-14.880172228943305,-12.745785065050793,-1.53,-3.1657660637381575,-2.87160756501182,-4.726739393939393,-26.475409687641466
-0.3485183874164769,-644.5337766044432,-11.951457680250783,-1.84,-5.2987597883597894,-4.221111111111111,-5.806519298245615,-222.97656249999997
-3.565172676958701,-107.44586775162337,-13.204300088261252,-1.65,-1.7351578947368411,-3.044126984126984,-5.303791666666666,-0.30481865721997314
-0.7109012778956202,-284.06684505026095,-13.549077198604957,-1.71,-3.6875294871794866,-3.3794157088122603,-4.886153459119496,-1.9458853004092265
-1.2617472906684315,-110.78903051890983,-12.657517815826006,-1.65,-3.9196259740259753,-2.9907936507936506,-5.111866666666667,-46.26040816326531
-4.454539059405389,-80.89785668986319,-12.767310405643737,-1.6,-1.6631951980792303,-2.9511111111111106,-5.105654901960784,-0.39254658199387665
-1.6102211076305055,-119.24903012439744,-12.273813734713075,-1.65,-1.7478768089053804,-3.00829365079365,-4.909345355191257,-1.8971674308523272
-19.583110902887395,-24.98314517900005,-11.944798691828346,-1.29,-0.3053252990695614,-2.9911697965571205,-3.6952064257028105,-2.3808739269994157
-2.40653835591276,-116.27584739801742,-13.037068300431134,-1.63,-2.1688806722689074,-3.083295795795796,-4.994543589743589,-0.6833364633413465
-7.572862694680918,-56.743361848426524,-11.74715825786977,-1.42,-6.57,-1.4787356321839078,246.214978448276,-19.420451843043995
-2.103415792675523,-13.803420859590467,-12.818614564831261,-1.55,-4.118091092584468,-2.8544444444444443,-4.968211111111112,-28.82296296296296
-0.7349223124199536,-168.27142855304402,-12.31515128449096,-1.7,-5.996262157809983,-3.0869444444444447,-5.396752380952382,-62.96666666666667
-85.07624493025168,-4.935155759630398,-12.0940224106344,-1.1099999999999999,-0.23440150659133743,-3.2312421972534335,-3.0867131782945743,-2.9228708433493584
-4.286776360837363,-68.21956337195459,-12.42523788889852,-1.62,-2.746722807017543,-0.4045697205977907,-5.5876820512820515,-42.83684210526316
-34.03586959963022,-16.264063011152786,-12.003978349120434,-1.24,-0.30371645569620254,-3.0181725146198835,-3.621299196787148,-1.5008903899016206
-0.514858372441847,-533.0609483925163,-12.470424852414594,-1.82,-6.363336434108526,-3.9627777777777777,-5.8660000000000005,-171.3635185185185
-27.623442010445977,2.425745857697799,-12.264659793814433,-1.15,-1.2071098147418216,-3.1074019607843137,-3.3607746031746037,-9.435501730103807
-3.0546459786033067,35.98158874570967,-12.634600352188292,-1.33,-12.430717770034839,-2.8634908789386397,-7.035566666666666,-13.662829137892622
-16.241001543558976,-31.512977968850716,-12.578957732133764,-1.3399999999999999,-0.4425882352941175,-3.005631313131313,-4.039578059071729,-1.36551539716633
-41.9916362986462,4.568121374404252,-13.489868057686406,-1.08,-3.5092375876577835,-3.349589371980676,-3.2264666666666666,-8.045096880907371
-4.54841897145649,-6.312574445104218,-12.105693950177937,-1.38,-2.046988635768526,-2.8422849462365596,-4.147413725490196,-16.16722684703434
-21.89413597374695,2.982778859503854,-12.878306887029634,-1.13,-2.3756363636363638,-3.2330459770114945,-3.255407407407407,-8.673634562029331
-44.553074602042244,-1.4452500953820797,-12.30362600536193,-1.12,-0.6813352400408581,-3.207626262626263,-3.16540990990991,-8.715694731404959
-12.73155027486286,2.6728140484747445,-12.220225688682376,-1.24,-1.85558905675786,-2.9434502923976607,-3.819174358974359,-11.57281163434903
-7.919899692663116,-42.47458266890158,-12.349740844819127,-1.4100000000000001,-0.5852903225806452,-2.946346516007533,-4.144561403508773,-2.089783197831979
-11.100311443363397,-7.055932687148696,-12.534052572994263,-1.27,-1.2505263157894735,-3.0404870624048708,-3.701866666666666,-11.898029649089887
-0.7578444697712592,-304.85573605654474,-12.338229683326974,-1.78,-5.756065800865801,-3.497727272727273,-5.9533000000000005,-117.26599173553717
-13.390358079910506,-2.0399200350635787,-12.43579983593109,-1.27,-1.4969320249776987,-2.948820395738204,-3.910508045977011,-12.465982360668043
-7.150893262378611,-48.65871254955569,-14.466932270916335,-1.49,-1.5417469387755105,-2.9795588235294117,-4.955722222222222,0.0
-0.7910676523471273,-128.25920260474783,-12.468429217225792,-1.65,-3.9196259740259753,-2.9907936507936506,-4.941866666666667,-45.920408163265314
-20.408683526953414,0.31701530648319176,-12.128218907112833,-1.21,-1.1369192782526123,-2.99207805907173,-3.6269126984126983,-10.879419964749237
-0.7401602876507891,-285.30355172162547,-12.76648007590133,-1.76,-5.439139849624061,-3.433888888888889,-5.511313725490196,-95.53625000000001
-63.260021830944034,-13.472287458121126,-12.222539358004498,-1.19,-0.2209756358768409,-3.1000617283950618,-3.5213248062015503,-1.2501655375874123
-0.5090794524257135,-33.203082561585596,-12.555522273425499,-1.68,-6.310004395604395,-3.0388888888888888,-5.397866666666667,-54.14306640625
-1.5356774172406387,-95.1754831266872,-12.7951166407465,-1.62,-3.703733333333333,-2.9702339181286552,-4.972030303030303,-39.14594182825484
-10.176495327797605,9.439272675669631,-12.838219352781763,-1.24,-3.767727750730281,-2.9551169590643274,-4.2352784313725484,-11.609473684210526
-8.874321424031384,-12.691377639782747,-12.328203031851473,-1.33,-1.5365948717948723,-2.9326575456053066,-4.101112568306011,-14.178944085542433
-0.6324867328331115,-400.8688102151605,-12.833029362616376,-1.79,-6.4878,-3.6726190476190474,-5.671466666666666,-123.50244897959182
