member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7
-14.204793924635007,-282.10254495529784,-1.2000000000000002,-inf,-1.8218945707771157,-1.805592615384615,-93.81219674175267,-17.489059504496378
-11.669465807128358,-3701.820025833609,-1.3900000000000001,-inf,-5.747418011218619,-1.2693526530612247,-30.0584084652599,4.968156807235165
-0.5181792647050909,-2862.37710059502,-1.69,-inf,-3.9193659327386987,-1.828992,-42.626329877525194,-18.203472038902536
-0.3431083279624857,-2256.570512851056,-1.71,-inf,-2.884877004198841,-1.5462909090909087,-40.61538959214709,-20.959894521948137
-0.099503658175625,-10312.45112251668,-1.55,-inf,-1.9740623276156763,-1.8864795918367347,-53.1448962003995,-15.854304619403347
-12.222504313698865,-303.3364407606773,-0.8999999999999999,-inf,-2.8442715586362,-3.8611688571428564,-36.0996099770382,-19.265646193480215
-0.5858864348891689,-1685.4594847132873,-1.88,-inf,-2.679146019852497,-2.0512003076923073,-36.39420126081322,-12.155785339664822
-1.2557494333648604,-739.3165588992479,-1.8900000000000001,-inf,-2.2341631549481153,-0.3541538947368422,-24.503317801754246,28.784820293078887
-0.46595043967545846,-1142.2088547192416,-1.7,-inf,-2.0751223756893165,-1.7977258695652174,-34.800610794937995,-9.272941724079505
-0.4828126567817835,-2593.358457079209,-1.67,-inf,-3.3332716410552483,-2.5617729729729732,-42.54899585306308,-14.611867199764191
-0.002778581367716331,-1388.5413233955937,-1.53,-inf,-1.7943107870453074,-3.065012142857143,-42.93217417253569,-14.785005119386547
-0.29054266668494433,-950.2548363107514,-1.6600000000000001,-inf,-1.4372343697404992,-2.828849882352941,-37.68216091880406,-7.525225345128828
-0.05194182491279344,-286721.04644170706,-1.55,-inf,-3.572480176631593,-3.658325,-72.16982068252736,-16.146772812326628
-13.849799926582811,-499.3683777585107,-1.25,-inf,-0.9340363009783563,-2.422304,-70.30552282839108,-15.069201186676434
-0.24435148067432189,-256076.45992577652,-1.65,-inf,-4.011239647328388,-1.6243663846153844,-65.81598435739502,-19.366457764658275
-13.646121103002901,-593.2083245202844,-1.25,-inf,-1.9890471301545318,-1.755681818181818,-88.44306812198663,-17.729827330289552
0.22274488003095994,,-1.42,-inf,-inf,-2.2885714285714283,-inf,-inf
-11.508883028037905,-1655.0314253992897,-1.75,-inf,-3.0923761621407877,-0.9768487826086956,-27.161292364514274,23.387815537361234
-0.1565446601287932,-17699.253645154982,-1.57,-inf,-2.5198578062722956,-2.134730418604651,-64.76113456736718,-11.28486232558274
-0.4469641975437868,-1616.2994182256143,-1.77,-inf,-2.4427833479465146,-1.7143720851063828,-38.287746154945914,-13.08084174129771
-1.0575170077349627,-722.2779150865111,-1.79,-inf,-1.9289485399706794,-0.6217216896551722,-25.622298962620906,14.382752910058281
-0.4808385397158223,-7564.277587450868,-1.83,-inf,-5.62488501999658,-1.8793749999999998,-64.29591811020768,-25.34364570155673
-0.8860674108927831,-1014.7583809416997,-1.8,-inf,-2.2297714599497156,-0.5329218461538462,-27.075207305302477,3.1431204943926994
-12.838336380159559,76.08004537086325,-1.23,-inf,-3.2806038097429404,-2.7695720769230765,-150.87907829237403,-16.295597597797524
-0.16279859182409037,-917.8368806383347,-1.6,-inf,-1.7013928236145417,-2.500662634146341,-32.58143897145939,-15.868204287415772
-15.263509355943564,-59918.69501746545,-1.2200000000000002,-inf,-0.6236854461946075,-1.8353350140845068,-68.63346639909298,-17.00457190366544
-16.416208505742567,80.81251920337951,-0.97,-inf,-0.3656170856971741,-2.7631810566037736,-94.44495414917037,-15.845965525339665
-14.626134166099751,93.1751773915729,-1.27,-inf,-2.2421735355722086,-2.007108,-126.04323474167953,-12.122490817148114
0.028888970322580598,-2626.4962423421325,-1.51,-inf,-4.849498643336123,-1.8218704615384613,-95.6916446122171,-18.49637972827675
-14.71230586395512,-682.3393022897379,-1.31,-inf,-1.021485045762594,-1.703556,-71.70397577177945,-12.514030415831796
-15.307726907421978,-31160.45055854609,-1.08,-inf,-0.2388622328039669,-2.5048376842105267,-69.79752886108867,-15.483347556044718
-0.5613529335943102,-1235.5818179950531,-1.83,-inf,-1.9224439572317191,-4.640066,-19.49946156067684,-9.816559652743608
-13.55169062773587,-1357.265373672169,-1.46,-inf,-1.2377061520926373,-1.6917333333333333,-63.65983443973013,-10.311839023892103
-16.062060235413085,111.66039737275588,-1.13,-inf,-3.7497844393277844,-1.3630316417910449,-216.58810574698356,-15.713922986301963
-12.546620675447484,-262068.8049206958,-1.17,-inf,-2.3309997555104878,4.1982248520710055,-7.126976895934941,-14.911641804603265
-14.48183345801414,-470.78103501899767,-1.25,-inf,0.026522324897090943,-2.5522560000000003,-49.798678380374795,-13.27371282809558
-17.104308183086314,-744.5266137973388,-1.02,-inf,0.1810498243494667,-2.5627769491525423,-77.67588738987443,-15.510188927557092
-13.844402702740203,43.24928051594536,-1.35,-inf,-2.181654442602963,-1.7820736153846153,-102.80481975803932,-12.272506501551614
-12.575757808793536,89.79168455203333,-1.3,-inf,-3.938970094588575,-3.093316363636363,-187.10337193574878,-11.594994208828378
-0.23360475873333247,-inf,-1.6600000000000001,-inf,-5.426252337692965,-2.820921333333333,-81.98461318501562,-19.236163661481807
-0.12588810636160971,-9497.981163491613,-1.57,-inf,-4.724060510464011,-2.464769636363636,-65.36851699329617,-19.06383428960975
0.04871063097628722,-2119.213674220296,-1.49,-inf,-2.9873743850972585,-1.7864,-76.28350292057972,-17.412496031033577
-15.060328658184593,-372.78634123618394,-1.21,-inf,0.17715885122241426,-2.4657230769230774,-50.37579361284927,-13.57955508538709
-14.35611898685889,-4497.346426218378,-1.5,-inf,-1.0790788799286246,-1.2432373636363634,-60.68208373093552,-11.131047244181657
-10.354873317614505,,-1.3599999999999999,-inf,-inf,-2.5842857142857145,-inf,-inf
-1.0043738013407746,-655.3323655125611,-1.94,-inf,-1.1485584086348353,-1.8145976216216217,-30.33851645935701,8.586283472987839
-0.12301767374976601,-1180.3905289705438,-1.57,-inf,-2.0438013217971305,-1.8539935714285707,-34.5763596757287,-18.720027448336186
