member_0,member_1,member_2
-inf,-7.49571428571429,0.014285714285715123
2.1960784313725488,-16.177067307692308,-18.3
2.684095860566449,-15.398792452830188,-27.7
-inf,-5.266666666666666,-0.35000000000000053
-inf,-0.2558139534883728,-1.5374999999999992
-inf,-10.472000000000001,0.9809523809523806
-inf,0.5841230769230767,-2.3142857142857145
2.0957446808510634,-15.122101010101009,-24.1
-inf,-0.7696,-0.20000000000000018
2.1960784313725488,-12.901714285714283,-13.949999999999996
-inf,0.467033898305085,-1.5307692307692307
-inf,0.628336134453782,-1.8076923076923075
-inf,-3.8012121212121235,-0.1555555555555559
-inf,0.21913599999999983,-1.557142857142857
-inf,-0.6673828124999995,-0.9000000000000004
-inf,0.0,-3.4000000000000004
2.065934065934065,-15.992615384615384,-27.0
-inf,0.38666666666666616,-2.1833333333333327
-inf,0.6745038167938927,-2.4857142857142858
-inf,0.7884000000000002,-2.084615384615385
2.526315789473685,-16.063783783783784,-16.15
-inf,0.9641092436974799,-2.207692307692308
0.5217391304347824,-18.968163265306124,-24.599999999999994
-inf,-3.9810687022900773,0.1999999999999993
-inf,-12.18186666666666,0.3043478260869561
2.56140350877193,-16.117919999999998,-24.499999999999996
2.2337662337662336,-21.55424299065421,-29.3
2.1333333333333333,-16.20470588235294,-25.9
-inf,0.8722758620689656,-1.5142857142857147
-inf,-11.127335766423357,0.31739130434782536
2.509803921568628,-8.518867924528301,-10.799999999999999
-inf,-2.1770078740157497,-0.677777777777778
-inf,-3.5795454545454533,0.18421052631578938
-inf,0.1295999999999999,-1.4000000000000008
2.3144654088050305,-17.929142857142857,-27.699999999999996
-inf,-12.498401408450704,0.49999999999999956
1.942857142857143,-15.581647058823526,-25.9
1.8550724637681155,-14.654693877551022,-23.599999999999994
-inf,-3.0073700787401583,-0.17777777777777803
-inf,-0.5843750000000004,-0.7999999999999998
-inf,-2.2755000000000014,-0.5333333333333332
2.2564102564102573,-24.590970873786404,-53.6
2.3,-13.307607843137255,-25.4
-inf,-5.490370370370371,-0.04999999999999982
-inf,-0.3312992125984251,-0.8333333333333339
-inf,-1.723880597014925,-0.9411764705882355
1.2867132867132867,-14.43483333333333,-22.7
1.80952380952381,-15.965090909090911,-48.599999999999994
-inf,-0.07923076923076892,-1.5333333333333332
-inf,0.6853920000000006,-2.3692307692307697
1.5064935064935068,-13.626166666666663,-22.5
-inf,-7.921303703703702,0.7523809523809524
-inf,0.6867999999999994,-2.633333333333333
-inf,0.0,-3.8000000000000007
-inf,-4.822834645669292,0.6499999999999999
-inf,-15.430656934306567,0.5749999999999993
-inf,-14.037929078014185,0.708333333333333
-inf,-3.8991407407407417,0.5777777777777775
-inf,0.23634453781512604,-1.0999999999999996
-inf,-17.619718309859156,0.7200000000000002
2.8400412796697623,-15.077045454545452,-20.1
-inf,-3.7503759398496253,-0.11111111111111072
-inf,-8.306122448979592,1.049999999999999
-inf,0.0,-2.5
2.0139860139860146,-16.347514018691587,-28.7
-inf,-19.835869565217386,1.1800000000000002
-inf,0.0,-3.2
1.518821603927987,-15.422222222222222,-24.4
-inf,-0.7063039999999994,-0.35714285714285676
-inf,0.820645161290323,-2.4923076923076914
2.166666666666667,-16.425599999999996,-24.799999999999997
2.3,-7.379094339622644,-9.233333333333334
-inf,-8.809992957746482,0.5190476190476203
-inf,0.23243801652892562,-1.2333333333333325
-inf,0.4460298507462687,-2.5
2.1960784313725488,-16.0473786407767,-26.4
-inf,0.35133333333333366,-2.6909090909090896
-inf,-4.987914893617021,0.344444444444445
-inf,0.0,-3.0000000000000013
-inf,0.3406551724137934,-2.6000000000000005
-inf,0.4238372093023258,-1.9666666666666668
-inf,-13.449283687943263,0.7434782608695651
-inf,-10.695941605839417,0.8454545454545457
1.7230769230769236,-14.592757281553396,-17.866666666666667
-inf,0.049454545454545466,-1.857142857142858
1.4666666666666661,-15.066352941176474,-26.0
-inf,-20.53010204081633,0.6200000000000001
-inf,-1.2491379310344815,0.11764705882352922
2.3,-11.309999999999993,-13.3
1.8775510204081634,-13.626297029702968,-25.1
-inf,0.6114406779661022,-1.7307692307692308
-inf,-9.546352941176469,0.8909090909090907
0.6427061310782254,-17.085734042553195,-43.89999999999999
2.068027210884354,-16.5132,-49.6
-inf,-2.511633587786261,-0.2999999999999998
-inf,-4.332857142857142,0.23157894736842044
-inf,0.0,-3.2
-inf,-0.21455223880597088,-1.8000000000000003
-inf,-9.328859060402685,-0.34999999999999964
1.942857142857143,-17.797647058823532,-26.2
-inf,1.2592436974789922,-2.607692307692308
-inf,-12.733673333333327,0.7521739130434772
1.6645962732919255,-15.478204081632656,-23.799999999999997
1.3675213675213684,-8.189571428571428,-15.0
2.684095860566449,-13.397111111111105,-14.7
