member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9
,-19.45286808510638,-24.267062856543898,-8.99537948690187,-57.39519999999997,-19.58758830547602,-inf,-195.51684692832293,-1.1600000000000001,-6.401887179487179
-inf,-31.065313432835826,-9.354923634737547,-6.635434771055544,-42.03060000000002,-22.17924798716501,-inf,-230.37363359351258,-1.17,-6.333598765432099
,-14.745149999999997,-44.41410811965812,-13.95765198887859,-68.67749999999997,-18.59535402419878,-inf,-39.255377493412546,-1.2999999999999998,-6.417888888888889
-inf,-13.748758741258742,-17.60829860111516,-7.184818014886957,-54.73079999999998,-19.06372252158601,-inf,-150.29181219691213,-1.26,-6.6312395061728395
-inf,-18.5143088607595,-12.052837462400866,-6.930965271286871,-50.31240000000001,-20.32434696144934,-inf,,-1.21,-6.538617610062892
-inf,-17.28130016051365,-9.144122752111276,-4.263760148321625,-43.51279999999998,-23.03111899352833,-inf,-217.91551256382368,-1.26,-6.660942424242424
-inf,-22.89159916839916,-9.966426913421275,-5.17610855884125,-46.074799999999975,-19.584696403243218,-inf,-232.7946989594782,-1.1,-6.399785815602837
,-17.483460923076926,-32.15774120819849,-11.173678979247136,-61.06319999999997,-17.335019567617806,-inf,-192.49674514746334,-1.1099999999999999,-6.414811111111111
-inf,-16.309757685352626,-12.256623194429114,-5.64600263048946,-49.460199999999965,-21.11591029786874,-inf,-204.50180651413572,-1.25,-6.641198765432098
,-37.29046588235295,-16.32548551165147,-12.11102963974333,-52.70120000000004,-21.95612256292931,-inf,-210.2994318835386,-1.15,-6.200623809523809
-inf,-11.968813872832369,-43.26639492753622,-13.70051161605116,-67.63440000000003,-15.600465082925654,-inf,-18.82750118560062,-1.16,-6.470416666666667
-inf,-20.861063013698633,-10.749646883985726,-5.139337448104602,-45.55919999999999,-18.612955588560187,-inf,-237.37098782956642,-1.1,-6.448489855072464
-inf,-3.81444976076555,-11.994598866213149,-1.732594318118856,-50.69039999999999,-10.601279589719784,-inf,-163.70560454236823,-1.1400000000000001,-7.137311111111111
-inf,-14.712628965517244,1.3962527994527996,-1.7410496503240476,-36.3808,-29.721748011818885,-inf,-208.86569337174484,-1.32,-7.22348717948718
-inf,-21.577920000000006,-17.034110964538375,-8.24316179856563,-53.17959999999999,-21.90048515152308,-inf,-179.34639508267978,-1.22,-6.3769766081871335
-inf,-14.972999999999999,-11.409485578747628,-5.5389066352041505,-50.466799999999985,-24.604368100531776,-inf,-75.53203311109465,-1.3599999999999999,-6.589703225806452
-inf,-15.342276923076925,-4.73665919422131,-1.6247075975766714,-29.863200000000006,-25.991883784982026,-inf,-269.42932720242635,-1.36,-7.448817610062893
-inf,-4.605353513513514,-3.6374412538079195,0.7034727650597639,-32.802600000000005,-4.540673947356759,,-348.22396823322174,-1.1400000000000001,-7.818497530864198
,-9.324584347826084,-46.855641762452116,-9.313959099621053,-68.18960000000001,-18.565979126827653,-inf,-41.621038065513346,-1.38,-6.605919540229885
-inf,-11.522383354350568,-8.40390379537954,-3.5245131174089064,-42.399200000000036,-20.534303913388854,-inf,-200.28243374722013,-1.26,-6.9214666666666655
-inf,-5.387529481132075,-9.119568337480747,-2.3489768366640256,-44.70439999999997,-20.052841819434047,,-181.27828511880264,-1.53,-7.968466666666666
-inf,-8.804907692307692,-40.090221379770895,-10.409702031921181,-63.7836,-11.468042681370285,-inf,-202.25617280930817,-1.02,-6.5717481481481475
-inf,-6.53809655172414,-16.905046636007498,-3.6544749684561646,-52.17039999999999,-13.40510015171667,-inf,-237.56131778212412,-1.17,-7.017908771929825
,-17.642057142857148,-13.643316144639671,-6.5920576907842685,-48.9264,-20.447304732562422,-inf,-202.29174305956997,-1.27,-6.633023809523809
-inf,-20.261172413793105,-77.37966425339366,-35.22006455730224,-71.72639999999997,-14.0586934451709,-inf,-33.6272864438366,-1.04,-6.3871
-inf,-7.5075,-26.600916239316234,-5.838798679339187,-59.04039999999997,-13.34291169599212,-inf,-199.7302003465935,-1.12,-6.735582905982906
inf,-20.39808,-21.746944835088755,-8.110013813784084,-55.2624,-26.603730484344908,-inf,-222.48767965966957,-1.44,-6.4558740740740745
-inf,-17.155328155339806,-12.48936858935052,-6.028281815921467,-45.95979999999999,-19.98831092418095,-inf,-203.81515627948883,-1.22,-6.579794339622642
-inf,-22.652222222222225,-34.45397469844072,-18.552555591081873,-65.59019999999997,-17.821146687697308,-inf,-53.55758625802003,-1.17,-6.286848484848485
-inf,-26.239243846153844,-10.19681075819672,-14.476105631773045,-58.726399999999984,-26.04690186476701,-inf,-10.703431669275167,-1.24,-6.278429508196721
-inf,-16.338201058201058,-14.229033333333334,-5.237622130115636,-49.53119999999998,-21.638956822920854,-inf,-218.68394528474394,-1.26,-6.623033333333333
-inf,-13.392654545454544,-8.685003296703297,-2.4384744433367316,-42.32880000000002,-17.712222999595806,-inf,-244.90662747721987,-1.0999999999999999,-6.6366571428571435
-inf,-5.3822511627906975,-40.295485185185186,-6.903830402507123,-64.11260000000001,-11.651794312664936,-inf,-183.8635933531131,-1.12,-6.7410296296296295
,-10.762181818181817,-32.74492461348176,-8.90452422525852,-62.45499999999999,-15.937889642544484,-inf,-158.937431122279,-1.21,-6.61337006802721
-inf,-16.18796146788991,-13.25728943967648,-6.3492586869694065,-49.756199999999964,-19.37077806552,-inf,-194.7865344288426,-1.19,-6.539564705882353
-inf,-22.95868085106383,-12.177031540801138,-8.762044215945814,-50.731600000000014,-19.86463907689259,-inf,-115.48037924227808,-1.13,-6.276081045751633
inf,-18.48830561797753,-20.165719130635345,-7.74056425098633,-54.770000000000024,-19.854943239724864,-inf,-210.08716547400903,-1.19,-6.452417610062893
-inf,-8.539397260273974,-19.880540015540014,-4.426738936479262,-55.70919999999999,-20.14243899242024,-inf,-168.65967067029132,-1.33,-6.848641025641026
-inf,-5.33438331160365,-3.488165618448639,0.6153620824941874,-28.443199999999976,-15.505163030737592,,-288.92758649372064,-1.25,-7.871222222222222
,-14.462840930232558,-18.6950256255293,-7.555095514571843,-54.71759999999998,-17.723308357541878,-inf,-189.2317358028139,-1.21,-6.602104575163399
-inf,-6.430735802469136,-13.7595075230092,-3.0128177355437864,-49.40559999999999,-18.422174807353677,,-219.82103611440778,-1.44,-7.531670068027211
-inf,-21.22187294117647,-11.357791954286586,-5.308774643538512,-46.054399999999994,-21.982680502035553,-inf,-226.39711456237004,-1.21,-6.5003987654321
-inf,-11.139150000000003,-10.070489996425971,-2.7109096918903957,-39.5064,-17.310654506353462,-inf,-264.7826188710485,-1.2,-7.089928682170543
-inf,-12.775282758620692,-11.789602659245514,-4.271289146540081,-47.4264,-21.966257421895385,-inf,-213.0222408849275,-1.35,-6.941023809523809
,-5.503208026755853,-22.220619590260913,-3.5299541376026413,-55.990800000000014,-19.07934412758361,,-196.18842313290895,-1.55,-7.456817610062894
-inf,-12.397993548387099,-13.917176184267706,-4.689439380860708,-49.385999999999974,-22.27636362468895,-inf,-206.59827999474322,-1.4,-6.956253107344632
-inf,-3.945494505494506,-11.59129350935093,-1.5536094752436647,-45.40559999999999,-15.455481077488978,,-265.4758995965053,-1.46,-8.085133333333335
-inf,-20.0089575,-19.792959830372155,-12.576182137368422,-60.1518,-16.826279132594262,-inf,74.81253800435103,-1.0899999999999999,-6.281256737588653
inf,-17.03462693877551,-25.55051514808527,-6.540630267847571,-59.383999999999986,-22.686835732578533,-inf,-218.94861728168564,-1.51,-6.863222222222222
-inf,-7.074929577464787,-9.872167423287095,-1.1201021076155229,-41.36200000000002,-15.505285410113853,-inf,-284.9011830956477,-1.2200000000000002,-7.315082905982907
,-10.503389690721649,-27.983187285223366,-7.180873718726531,-60.94099999999999,-19.328605815683307,-inf,-161.34081008361255,-1.34,-6.710523809523809
