member_0,member_1
-40709.71170935176,0.5
,-inf
-14503.709965658392,36.67
,-inf
-731.6395933138715,0.5
,32.42
,-inf
,-inf
-352.2241570771809,20.58
,21.0
-2694.6072750718545,0.5
-270.1214313664852,-2.0
,-inf
,35.17
-294.58064586084083,-2.0
,-inf
,-inf
,-inf
-15328.36591113351,0.5
-1206.621058143527,35.83
,17.33
-47228.34340117866,0.5
-286147.7800219179,0.5
,-inf
,-inf
-1100.5400348641103,0.5
,-inf
,-inf
-43488.951740890676,0.5
-835.0794972195235,25.42
-24083.28174450671,0.5
,-inf
-11269.140384163657,0.5
,-inf
,-inf
,-inf
,-inf
-181364.28379635978,0.5
-370001.2639057921,0.5
-1171.902698839346,0.5
,0.5
,-inf
,-inf
,-inf
-3851431.0296603916,0.5
,-inf
-501.6405634387134,19.33
-14211.288517575575,0.5
,-inf
,-inf
,-inf
,18.17
,-inf
,-inf
-326.2120448048872,0.5
-350.7710313439678,27.25
-92745.25891252887,53.33
-413.02685842728584,27.67
-504537.334612412,0.5
,-inf
,-inf
,-inf
,-inf
,-inf
-3262.913729049724,36.75
-95171.18091416692,0.5
,-inf
,0.5
,-inf
,-inf
-254348.59024169756,0.5
,-inf
,-inf
,-inf
,-inf
-1705.2510799296751,71.92
-1316.3610077585074,19.17
,-inf
-406.1944488561393,0.5
,-inf
,-inf
,-inf
,-inf
,-inf
-311.6078144239369,30.58
,-inf
,-inf
-249.04765247176348,-2.0
,-inf
,-inf
-525.063299912767,48.58
,-inf
-51332.30812940016,0.5
,-inf
,-inf
-1412940.3921076406,0.5
,-inf
,-inf
-118180.01518078965,0.5
,-inf
-115882.34524294327,0.5
-435.1846621576816,0.5
-700413.4417305834,0.5
,-inf
-208210.4292360883,0.5
-12770.90191175994,0.5
-544.6791261318451,55.25
-1863.035573835458,0.5
-16007.3179583175,54.25
-139790.68294132533,0.5
,-inf
-159238.89421128298,0.5
-48112.13493540229,0.5
,-inf
,-inf
,-inf
,-inf
-330.62308427614136,36.25
-55699.6075414765,0.5
-260.7705678500739,-2.0
-482.8757820675971,27.75
,-inf
,-inf
,-inf
,-inf
-745.8549572815896,21.67
-182503.1949521819,0.5
-88021.88563672449,0.5
,-inf
-22942.952936246016,0.5
,-inf
-120229.13376887496,0.5
,-inf
-7770.047986851584,0.5
,-inf
,23.5
-10466.031818000492,0.5
-inf,0.5
,-inf
,-inf
,-inf
-379446.6851595081,0.5
,-inf
-4371.805438047701,39.83
,-inf
-1593277.9624635929,0.5
-16270.664525876971,0.5
,-inf
,61.0
,-inf
-298.1737065602583,48.08
,-inf
-21954.690498130523,0.5
,-inf
,-inf
,-inf
,-inf
-292164.1313210468,0.5
,-inf
-483173.7332462539,0.5
-242554.39261422335,0.5
-453.215800535198,0.5
,-inf
-10267.337930174723,0.5
-1442047.0588007271,0.5
,-inf
-343997.7238777787,0.5
-2912.295858687259,63.92
-959.8466629315557,23.5
,-inf
,-inf
,0.5
,-inf
-8430.324174830646,0.5
,-inf
-281999.20850518235,0.5
,-inf
,-inf
-367.58252637720364,47.0
-26942.785990434564,0.5
-23816.167075980353,0.5
,-inf
-22335.645238866884,0.5
-601.2316097267026,19.5
-186118.981905324,0.5
-54888.69732492107,0.5
-340.5347408817779,16.58
,-inf
,-inf
,-inf
,-inf
,-inf
,-inf
-74.2576640205776,23.42
-2840.9396417241155,0.5
-29580.910209990223,33.67
-460.185049808495,0.5
-6947.458161632016,0.5
,-inf
-1065996.412009371,0.5
,26.33
,-inf
-1251.6419500614616,0.5
,-inf
,-inf
-459.87185863702786,20.33
-41528.083569779425,0.5
-83015.43179462744,0.5
,-inf
-180994.59780064548,0.5
-inf,0.5
,-inf
