member_0,member_1
,-34.0
,-24.0
-21.0,13.0
-21.0,20.0
-21.0,19.0
,-21.0
-5.0,-9.0
-11.0,-5.0
,-16.0
-17.0,2.0
-5.0,-19.0
,-inf
-16.0,7.0
,-inf
-20.0,10.0
,-inf
1.0,-9.0
-21.0,3.0
0.0,-inf
,-31.0
,-inf
-21.0,6.0
,-inf
,-inf
-4.0,1.0
-6.0,-7.0
,-18.0
-6.0,1.0
-15.0,2.0
,-inf
-21.0,20.0
,-18.0
,-30.0
,-inf
-20.0,8.0
-5.0,-6.0
,-21.0
,-inf
,-inf
,-19.0
-15.0,2.0
,-inf
,-19.0
,-18.0
,-15.0
-10.0,4.0
,-21.0
,-inf
,-inf
-16.0,10.0
,-4.0
,-18.0
,-inf
,-inf
,-inf
,-inf
-20.0,11.0
-15.0,3.0
,-18.0
-10.0,4.0
-5.0,-6.0
,-18.0
,-20.0
1.0,-10.0
-19.0,3.0
-3.0,-6.0
,-31.0
,-14.0
-16.0,2.0
-15.0,12.0
,-inf
-17.0,13.0
,-21.0
-21.0,12.0
-8.0,4.0
,-20.0
-21.0,22.0
,-21.0
,-32.0
,-21.0
-21.0,6.0
-21.0,17.0
,-23.0
,-29.0
-21.0,5.0
,-34.0
-3.0,-6.0
,-20.0
,-16.0
,-18.0
-6.0,-16.0
-5.0,-inf
,-14.0
-19.0,15.0
,-inf
-11.0,7.0
-23.0,18.0
-5.0,-5.0
-10.0,4.0
-3.0,-9.0
,-inf
-20.0,12.0
-3.0,-20.0
-14.0,5.0
-7.0,-inf
,-19.0
-21.0,17.0
-15.0,6.0
-18.0,-inf
-20.0,18.0
-1.0,-7.0
,-20.0
,-inf
-15.0,7.0
,-21.0
-18.0,5.0
,-35.0
,-inf
,-18.0
,-inf
,-21.0
,-16.0
,-15.0
-16.0,10.0
-21.0,5.0
-10.0,4.0
,-inf
-16.0,10.0
,-inf
-21.0,6.0
,-4.0
-21.0,9.0
,-18.0
,-29.0
-3.0,-12.0
,-2.0
,-21.0
0.0,-11.0
-21.0,20.0
,-18.0
-21.0,11.0
,-8.0
,-inf
-3.0,-19.0
,-20.0
,-18.0
-8.0,4.0
,-24.0
,-15.0
,-inf
-6.0,0.0
,-29.0
,-inf
,-20.0
-23.0,20.0
-20.0,10.0
-15.0,3.0
-14.0,11.0
,-inf
-6.0,-21.0
-17.0,22.0
-15.0,7.0
,-3.0
-5.0,-9.0
-21.0,12.0
-17.0,11.0
-23.0,12.0
-3.0,-12.0
-16.0,5.0
,-20.0
,-20.0
,-20.0
0.0,-inf
-21.0,9.0
,-21.0
-21.0,11.0
,-inf
-8.0,4.0
,-6.0
-17.0,6.0
,-inf
,-inf
,-26.0
,-21.0
-23.0,15.0
,-19.0
