member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9
-55.35426655508582,-3.5425,-13.341827906976745,-218.10096408015667,-1.0,-210.94222709949426,-inf,4.390955759932938,-4.788181818181818,-3.5368
-43.29740298300578,-3.255,-8.860647297297298,-215.23833600879104,-0.9000000000000001,-217.63819037688654,-inf,-144.18828715926455,-3.950980392156863,-3.6579
-62.45706305709564,-2.66,-3.2819804326856827,-206.17975877485014,-1.0099999999999998,-325.12082252945856,-inf,-306.6544007370687,-4.483478260869565,-3.5704000000000002
-121.82727491112661,-2.9075,-8.185885066006602,-201.37576864116411,-0.8999999999999999,-220.0118111839797,,-233.53995065334726,-4.121428571428571,-3.5978
-51.62444198796451,-2.96,-7.096976430976431,-212.49674782483456,-0.8099999999999999,-286.36024469619264,,-298.85936142835817,-3.7352830188679245,-3.6943
-79.7256372792022,-2.705,-5.7258797417272,-202.63847513258872,-1.01,-177.3553969544422,-inf,-331.71119567025653,-4.18,-3.64
-128.26159081965898,-2.5625,-6.756600915122399,-14.795317038050015,-0.6799999999999999,-213.40230715843794,-inf,-373.02992601758945,-3.183333333333333,-3.792
-109.68760948670808,-3.1199999999999997,-7.035174294060371,-202.71968246166853,-1.0899999999999999,-266.4691728363605,-inf,1.117416811869671,-3.573076923076923,-3.6292
-64.71742111583329,-3.3425,-9.21363396226415,-207.0137528514385,-1.15,-224.8444740697076,-inf,20.67815742102279,-4.1075,-3.5808
-183.9328821843598,-2.8775,-8.660236363636365,-192.19276792806826,-0.9299999999999999,-197.56336299294344,-inf,-130.0687770117551,-3.86,-3.5700000000000003
-138.7358811202691,-3.2125000000000004,-7.806741269841271,-201.4234127835425,-1.19,-241.71246671157215,-inf,12.710022213513597,-5.67027027027027,-3.3922
-29.489632137779417,-3.2275,-7.241909362054681,-219.71074923735878,-1.0499999999999998,-244.10120321377488,,-204.1524271223581,-4.829090909090909,-3.5544000000000002
-194.54069197085875,-3.1881,-8.85235677830941,-194.31132369140784,-0.7000000000000001,-266.2470601206556,-inf,43.94298565838842,-3.5688235294117647,-3.5559000000000003
-67.40716732823051,-2.9425,-5.333578303917347,-208.83119122019033,-0.8799999999999999,-245.40254179751636,-inf,-236.79931185701346,-4.444893617021277,-3.5875
-264.4602232497848,-2.6774999999999998,-8.375128746177369,-181.58488701611165,-0.9099999999999999,-146.3684359740654,-inf,-168.97593455191375,-3.8400000000000003,-3.535
-557.9884993554653,-3.5742000000000003,-14.47410588235294,-186.1786569776216,-0.8600000000000001,-217.09958159668258,-inf,339.50513807085866,-2.8917647058823532,-3.3876
-7.4984537931528905,-2.93,-2.780600472813239,-235.70987189708063,-1.0299999999999998,-276.31752531690444,,-759.0178295455255,-6.92,-3.4182
-34.51500102897607,-2.7575,-3.755310986616868,-208.34186519659372,-0.93,-309.9404355927513,-inf,-230.12759950659287,-3.705283018867924,-3.6943
-64.76429499182636,-2.8024999999999998,-5.891635779175401,-207.32081604263342,-1.02,-269.03631246724154,,-315.48951913541697,-4.251666666666667,-3.6048
-287.1184552577977,-3.2475,-8.525743722943723,-187.21820706920425,-0.9600000000000001,-209.75827889798998,-inf,219.1123875718179,-3.3235294117647056,-3.4947
-114.13041313107848,-2.835,-6.552969023569023,-197.23313554100264,-1.2,-219.19685182545567,-inf,-92.92906980418856,-3.481481481481481,-3.6642
-68.55557173662271,-2.98,-5.447198033934822,-207.04577942116947,-1.2,-236.79070322422072,-inf,-99.0710054591699,-3.796153846153846,-3.676
-157.69080634062416,-3.1550000000000002,-7.093487596899225,-202.9574778482886,-1.0,-317.17734094176285,-inf,4.290719071800703,-5.576216216216217,-3.3848000000000003
-80.361433934213,-3.1525,-4.517241025641025,-209.56343140983122,-1.28,-282.31769799704654,-inf,62.95885053252876,-4.658181818181818,-3.5368
-11.160938328247132,-2.955,-5.1675516720604096,-240.07529595492466,-0.92,-294.97242132063855,,-870.3390517599641,-4.470833333333333,-3.6576
-107.99185062378871,-2.9,-5.458456637912898,-200.65383134146813,-1.0,-229.92953622009995,-inf,-161.38321551422388,-5.510000000000001,-3.4368
-276.7413567136796,-2.0875,-5.21129411764706,3.731070791837367,-0.7999999999999999,-201.97146299084204,-inf,-277.71608004385126,-3.3909090909090907,-3.6215
-37.4013927588176,-2.6649999999999996,-4.779367741935484,-203.74293641450106,-1.2600000000000002,-238.37793599835572,-inf,-236.94231781154366,-3.7252830188679242,-3.6943
-102.8202914499036,-3.0725000000000002,-7.493253296703296,-205.41400370866364,-0.89,-234.4394410584637,-inf,-139.36622860065708,-4.1875,-3.5808
-59.81291323158496,-2.6975,-4.5793250374812615,-206.62999685492713,-1.0899999999999999,-331.0709217488441,,-316.3546689800985,-4.093469387755102,-3.6223
