member_0,member_1,member_2,member_3,member_4
0,0,7,0,1
0,9,6,0,0
9,9,6,0,1
9,0,3,0,1
0,9,6,0,0
9,9,6,0,1
0,0,7,0,0
0,9,3,0,0
9,9,3,0,1
0,0,0,0,0
0,0,7,9,0
0,9,3,0,1
9,9,4,0,0
0,0,7,9,0
0,0,7,0,0
0,0,7,0,1
9,9,1,0,1
0,0,0,0,0
9,9,4,0,1
0,9,0,0,0
0,9,7,0,1
0,9,3,0,1
0,9,7,0,1
9,9,0,5,1
0,0,7,0,0
9,9,4,0,0
9,6,4,0,1
9,0,3,0,1
9,7,7,0,1
0,9,5,0,0
9,0,7,0,1
0,0,3,0,0
9,9,7,0,0
9,9,4,0,1
9,9,3,0,1
0,9,5,0,0
9,9,9,0,0
0,9,2,0,0
0,0,0,0,0
0,0,7,2,0
9,9,4,0,1
0,0,7,0,0
9,9,7,0,1
0,9,3,0,0
9,9,4,0,0
0,9,0,0,0
0,9,1,0,0
9,7,7,0,0
0,0,7,0,0
0,9,3,0,0
0,0,7,0,0
0,9,7,0,0
9,9,2,9,0
6,0,7,0,1
9,9,4,0,0
0,0,7,0,1
0,0,7,0,0
0,0,7,0,0
9,7,7,9,1
0,9,7,0,0
0,0,7,0,0
0,0,7,9,0
0,0,7,0,0
9,8,0,0,1
9,7,7,0,1
0,0,7,0,0
0,0,7,0,0
0,0,1,0,0
7,9,3,0,1
9,9,4,0,0
9,4,9,0,0
0,0,7,0,0
9,0,5,0,1
9,0,7,0,0
9,9,7,0,0
9,7,7,5,1
0,9,5,0,1
9,0,6,0,0
0,0,7,0,1
0,0,7,0,0
9,9,3,0,1
4,0,7,0,1
0,0,3,0,0
9,9,4,0,0
9,9,4,0,0
5,9,7,0,1
9,9,7,0,1
0,9,0,0,0
0,0,7,0,0
0,0,7,0,1
0,9,6,0,0
9,9,7,0,0
0,7,7,0,1
0,0,7,6,0
0,0,5,0,0
0,0,0,0,0
5,7,7,9,1
0,7,7,0,0
0,9,2,0,0
0,9,5,0,0
0,0,7,0,0
9,7,7,0,1
0,0,7,0,0
0,0,0,0,0
0,0,0,0,0
0,0,3,0,0
0,0,7,0,0
4,0,7,0,1
9,9,0,0,1
9,0,7,0,0
5,9,7,0,1
9,9,4,0,0
0,0,7,9,0
4,7,7,9,1
9,9,2,0,1
9,7,7,3,0
9,7,7,0,1
0,0,7,9,0
9,9,3,0,1
9,9,4,0,0
0,0,7,9,0
0,0,7,0,0
0,0,7,0,1
0,0,7,0,0
0,9,5,0,0
0,0,7,9,0
0,9,5,0,1
9,9,7,0,1
0,0,2,0,0
0,9,9,0,0
0,9,3,0,1
9,0,4,0,0
0,0,7,0,0
0,0,7,0,0
7,5,4,0,1
9,9,0,0,1
0,0,0,0,0
0,0,3,0,0
0,0,7,0,0
0,9,3,0,1
9,9,2,0,1
9,9,4,0,0
9,9,4,0,0
9,9,7,0,1
9,9,4,0,0
0,9,4,6,1
0,0,0,0,0
0,0,1,0,0
0,0,7,6,0
0,0,7,0,0
5,9,3,0,1
0,9,7,0,1
0,9,4,0,1
0,0,7,9,0
9,0,4,0,1
9,0,4,0,0
0,9,6,0,0
9,9,4,4,1
9,0,4,0,0
0,9,9,0,0
0,9,4,0,1
9,0,5,0,1
9,9,3,0,0
0,9,4,0,1
0,9,4,0,1
9,0,7,0,0
0,0,1,0,0
0,0,7,9,0
0,0,1,0,0
0,9,3,0,0
9,0,5,0,0
0,0,0,0,0
0,0,7,0,0
0,7,7,0,0
0,9,2,0,0
0,9,1,0,0
0,0,7,0,1
0,9,3,0,1
9,7,7,0,1
0,9,3,0,0
9,9,0,0,1
0,9,2,0,0
0,9,4,0,1
9,7,7,0,1
0,0,2,0,1
0,9,5,0,0
0,0,7,0,0
9,0,7,0,1
0,0,7,0,0
9,9,5,0,1
0,9,0,0,0
0,9,7,0,1
9,0,4,0,1
0,9,4,0,0
9,9,4,0,1
0,9,1,0,0
0,7,7,0,0
9,9,4,0,0
0,0,7,0,1
9,9,6,0,1
0,0,0,0,0
9,9,3,0,1
0,9,3,0,0
9,0,7,0,0
0,9,3,0,0
9,9,6,0,1
0,9,7,0,1
9,7,7,0,1
0,0,2,0,0
0,0,0,0,0
0,9,3,0,0
0,0,7,0,0
0,9,3,0,0
0,0,7,9,0
7,7,7,9,1
9,9,4,0,0
0,0,7,9,0
0,0,7,0,0
9,9,7,0,1
9,9,5,0,1
0,0,7,9,0
0,0,2,0,0
9,9,2,0,1
9,7,7,0,1
9,9,6,0,0
0,0,7,0,0
7,9,3,0,1
0,0,7,0,0
9,9,2,0,1
0,0,0,0,0
9,7,7,2,0
0,0,7,0,0
0,0,3,0,0
0,0,2,0,0
0,0,3,0,0
9,0,5,0,1
0,0,7,0,0
0,0,7,0,0
0,9,9,0,0
9,9,7,0,1
0,9,6,0,0
9,9,4,0,0
0,7,7,0,1
0,0,3,0,0
9,9,7,0,1
5,7,7,9,1
0,0,7,0,0
9,0,7,0,1
9,7,7,0,1
0,7,7,0,1
0,9,7,0,1
0,9,5,0,0
9,9,7,0,1
0,0,7,0,0
