member_0,member_1,member_2,member_3,member_4
2,5,1,7,1
1,5,1,3,0
0,5,1,3,0
1,5,1,7,1
1,5,1,6,6
1,5,1,5,5
1,5,1,5,6
1,5,1,7,6
2,5,1,7,1
2,5,1,7,1
2,5,1,7,1
1,5,1,5,5
0,4,1,3,0
2,5,1,7,1
1,5,1,7,6
2,5,1,7,1
1,5,1,7,1
2,5,1,7,1
1,5,1,5,6
2,5,1,7,1
1,5,1,6,6
0,5,1,3,0
1,5,1,2,1
0,5,1,3,0
0,5,1,3,0
2,5,1,7,1
1,5,1,6,6
2,5,1,7,1
1,5,1,3,0
2,5,1,7,6
2,5,1,7,1
0,5,1,3,0
1,5,1,5,6
1,5,1,3,0
2,5,1,7,1
1,5,1,3,0
2,5,1,7,1
0,5,1,3,0
0,5,1,3,0
1,5,1,6,6
1,5,1,3,0
0,5,1,3,0
2,5,1,7,6
0,5,1,3,0
2,5,1,7,1
0,5,1,3,6
1,5,1,5,5
0,5,1,3,0
0,5,1,3,0
1,5,1,7,6
1,5,1,5,6
2,5,1,7,6
2,5,1,7,1
0,5,1,3,0
2,5,1,7,1
1,5,1,5,6
2,5,1,7,6
1,5,1,5,5
1,5,1,6,5
2,5,1,7,1
2,5,1,7,1
1,5,1,5,5
1,5,1,2,0
2,5,1,7,6
0,5,1,3,6
0,5,1,3,0
2,5,1,7,6
1,5,1,3,1
1,5,1,5,5
0,4,1,3,0
0,5,1,3,6
2,5,1,7,6
1,5,1,3,0
2,5,1,7,1
0,5,1,3,0
0,5,1,3,6
1,5,1,3,6
0,4,1,3,5
1,5,1,3,0
0,5,1,3,0
1,5,1,3,1
1,5,1,6,6
1,5,1,6,6
1,5,1,3,6
1,5,1,5,5
1,5,1,3,0
1,5,1,6,6
0,5,1,3,0
1,5,1,2,1
1,5,1,3,0
1,5,1,3,0
0,5,1,3,6
1,5,1,3,0
1,5,1,5,6
1,5,1,5,5
1,5,1,5,6
2,5,1,7,1
1,5,1,3,0
1,5,1,3,0
2,5,1,7,1
1,5,1,6,6
1,5,1,6,6
2,5,1,7,6
0,5,1,3,0
1,5,1,3,0
2,5,1,7,6
2,5,1,7,6
1,5,1,5,6
0,5,1,3,0
0,5,1,3,0
0,5,1,3,0
0,5,1,3,0
2,5,1,7,6
0,5,1,3,0
0,4,1,3,0
1,5,1,5,6
1,5,1,3,0
1,5,1,7,1
1,5,1,6,5
2,5,1,7,6
0,4,1,3,5
1,5,1,6,6
1,5,1,7,6
1,5,1,5,5
0,5,1,3,0
0,4,1,3,0
2,5,1,7,1
2,5,1,7,1
0,4,1,3,0
0,5,1,3,0
0,5,1,3,0
0,5,1,3,6
1,5,1,5,5
1,5,1,2,1
1,5,1,6,6
1,5,1,3,6
1,5,1,3,6
2,5,1,7,1
1,5,1,6,5
1,5,1,6,6
1,5,1,3,0
2,5,1,7,6
2,5,1,7,1
0,5,1,3,0
1,5,1,6,6
0,5,1,3,6
0,5,1,3,0
0,5,1,3,0
2,5,1,7,1
1,5,1,5,6
1,5,1,7,6
0,5,1,3,0
2,5,1,7,1
0,5,1,3,0
1,5,1,3,6
2,5,1,7,1
2,5,1,7,6
0,5,1,3,0
1,5,1,5,5
0,5,1,3,0
1,5,1,3,6
0,5,1,3,0
0,5,1,3,0
1,5,1,7,1
1,5,1,7,1
1,5,1,3,0
0,5,1,5,5
0,5,1,3,0
1,5,1,5,5
2,5,1,7,1
0,5,1,3,0
1,5,1,5,6
0,5,1,3,0
1,5,1,6,6
1,5,1,5,5
0,4,1,3,0
2,5,1,7,1
1,5,1,3,0
2,5,1,7,1
1,5,1,7,1
2,5,1,7,6
0,4,1,3,0
0,5,1,3,0
2,5,1,7,1
2,5,1,7,1
2,5,1,7,6
1,5,1,3,0
2,5,1,7,6
0,5,1,3,0
0,5,1,3,0
1,5,1,5,6
0,5,1,3,0
1,5,1,6,6
0,5,1,3,0
2,5,1,7,6
1,5,1,5,5
1,5,1,3,0
1,5,1,3,1
1,5,1,3,1
0,5,1,3,0
1,5,1,6,6
1,5,1,6,5
1,5,1,3,0
1,5,1,3,1
2,5,1,7,6
1,5,1,5,6
1,5,1,6,6
2,6,1,7,7
1,5,1,3,6
2,5,1,7,0
2,5,1,7,6
1,5,1,3,0
1,5,1,3,0
0,5,1,3,0
0,5,1,3,6
1,5,1,3,6
1,5,1,6,6
0,5,1,3,0
1,5,1,3,0
0,5,1,3,0
0,4,1,3,0
2,5,1,7,6
1,5,1,5,5
2,6,1,7,1
1,5,1,3,0
2,5,1,2,1
0,5,1,3,0
0,5,1,3,0
0,4,1,3,0
1,5,1,3,0
0,5,1,3,0
0,5,1,3,0
0,5,1,3,0
2,5,1,7,1
1,5,1,6,6
